,value
0,162.96828616205366
1,160.2844260386643
2,161.0832280267292
3,161.6108573465792
4,162.90699901640818
5,164.39303697362945
6,166.01617546038847
7,170.0533073033561
8,177.13184660809367
9,181.35462109466224
10,187.3684980041643
11,190.09782395426916
12,188.7950121208075
13,187.66589048637465
14,185.6129105123263
15,183.3051297481862
16,183.49227283698303
17,184.45344753428947
18,192.887658797706
19,196.2307524703402
20,195.8808258077517
21,191.9521655279962
22,190.03873928593177
23,188.7810362337355
