,value
0,158.5189093379587
1,154.23916335405346
2,157.23727508011868
3,159.52974359391146
4,163.0866504481156
5,167.0816721938899
6,179.0805998203765
7,192.95062768180065
8,185.17219228850317
9,173.45833845650682
10,169.92560402480203
11,171.3561022989595
12,170.98861904290294
13,170.1960800248009
14,170.74403562934043
15,172.08940901179122
16,172.9231041334131
17,178.74033621772915
18,185.63723721619735
19,190.1165587877106
20,184.47309628031272
21,179.4741802482664
22,176.56936798136465
23,175.04686791878862
