,value
0,243.86727564265473
1,240.1296642289811
2,241.8240377226595
3,238.01083984923625
4,237.5561027233716
5,239.73824155702803
6,246.49826060888932
7,265.86338168829275
8,261.05295073819804
9,270.56456756887644
10,265.79657566548576
11,261.95461775052814
12,267.0086148954514
13,258.41409926969044
14,258.5744392109069
15,258.6610233366867
16,263.56246767555103
17,261.1384167864324
18,266.5968216532231
19,268.90832454655555
20,266.2954104697127
21,259.7807047894371
22,255.0242306388299
23,246.9700751740016
