,value
0,237.6467765247528
1,236.1763965029044
2,235.0301854506828
3,235.89388252468072
4,236.10845994539423
5,235.91900524224656
6,239.71463783936807
7,253.3726556863636
8,256.0348090124644
9,260.15737841143033
10,248.90974497760735
11,245.65237258102792
12,244.39777503969557
13,243.2700571906567
14,250.02510840919393
15,252.37861807557064
16,250.8786286485792
17,255.9591709142269
18,262.3094896890516
19,269.0361415261107
20,262.876636047961
21,261.7790436626161
22,253.10232342521397
23,251.58837483065952
