,value
0,147.78744516369636
1,147.2496548340962
2,148.8866395830126
3,149.5821813157623
4,152.19495953145554
5,155.34560829750598
6,158.0435534982436
7,161.88843358710366
8,168.3292042729502
9,172.0095701016377
10,174.3289792869511
11,171.98760300931562
12,166.88538435646828
13,169.20931211145847
14,164.86577497004063
15,163.5362680876218
16,163.09962891962152
17,165.46530555620672
18,167.12353469214585
19,172.0300289849158
20,169.97367271133427
21,164.46158157715686
22,166.4367342402446
23,165.16011100240007
