,value
0,229.39639827897665
1,227.21158476027085
2,226.445296854359
3,221.31734342269752
4,219.72213884334775
5,222.45549355545373
6,227.7330122336853
7,233.225327048592
8,234.00112203347345
9,235.03504800522265
10,232.193329397552
11,229.2783035500654
12,232.84048808059725
13,231.4593119774242
14,234.20019721901684
15,234.8353126898656
16,241.2669131239849
17,244.6142050492632
18,248.45913343750712
19,249.2187020559677
20,245.60226154851705
21,239.59626047529704
22,238.46187235420857
23,234.14843979914895
