,value
0,264.87852250972315
1,261.5705121926691
2,262.6460620306299
3,264.63998099942347
4,261.9320682994829
5,263.45559740733347
6,274.6063433886157
7,288.6535615660143
8,287.6744899201471
9,290.84601659960913
10,290.15558688861046
11,290.5757577707953
12,289.7659670631366
13,284.9064386559213
14,282.91782990475457
15,283.78962351597113
16,284.37934930966657
17,288.2239674531475
18,294.4438585470382
19,294.5092611809254
20,289.1070248908348
21,284.5454323165478
22,276.54459374293936
23,267.3483038933414
