,value
0,252.6428913252958
1,249.16997435484672
2,250.8255697601897
3,249.8373013591259
4,248.41020353961596
5,253.1099972543022
6,261.6663032219995
7,277.23631311821396
8,280.5368712465531
9,282.7659264519345
10,281.7619296568294
11,274.5106816488059
12,272.1745128711636
13,268.57234704249464
14,265.2557509921022
15,269.26137977925134
16,274.13533228514024
17,282.1311205080044
18,293.37164815407306
19,295.2719031906564
20,293.5064940744333
21,288.57379435260856
22,282.6694615545804
23,273.59438547044994
