,value
0,267.2055915019054
1,258.8921517667932
2,255.38749266728195
3,253.16126142221097
4,254.55738327389847
5,254.2721088218836
6,262.8577742760919
7,273.8988444087618
8,274.366756627107
9,276.45835233865165
10,278.87079105287813
11,284.08307266835186
12,278.08800159995286
13,278.14994511567045
14,274.37647323923113
15,272.8250100104684
16,269.46254893392154
17,269.57972226427864
18,266.85119709278786
19,265.2621466132595
20,258.8539414242295
21,250.7748290224074
22,246.429041257193
23,241.5395292333926
