,value
0,154.54932855095674
1,153.995331919846
2,156.61450732848272
3,153.7652666752978
4,153.73658035789137
5,154.57062467319088
6,166.36015020578552
7,171.53694976825176
8,166.58174880468215
9,170.09443165003492
10,160.6668561121381
11,156.74676051039185
12,153.64076741969998
13,149.01297604322107
14,149.9833591988315
15,159.8245912205705
16,159.24412494982457
17,166.4034189553196
18,174.20957991951732
19,179.57134545957447
20,175.4453584864792
21,170.34779280426804
22,161.92053983282702
23,154.9175954202621
