,value
0,240.28956689757928
1,236.75071077847576
2,236.87339240976667
3,232.95494656766417
4,237.18257627815555
5,244.1875725046063
6,250.2077445361653
7,268.9368210960877
8,274.8335453948012
9,278.5023020184489
10,273.29081636006663
11,270.22272550063155
12,273.5293570235274
13,269.27825110931457
14,261.88571152233743
15,272.03069850690537
16,272.1669538195066
17,268.96710136903823
18,278.6852693822095
19,279.5025527028633
20,278.14273992970345
21,273.11044409797717
22,265.25318307841195
23,256.3541578925998
