,value
0,193.84052633286404
1,190.54086621020355
2,188.50584715112544
3,193.13099698044215
4,191.48057846938696
5,194.7657734559563
6,204.2672194059456
7,207.901357051644
8,213.66193575990457
9,218.7396109219975
10,214.942598794122
11,217.67798841299484
12,208.26001261122985
13,206.11597100366248
14,205.3603741604327
15,207.71613189691655
16,205.7305327845462
17,207.18555353223516
18,211.58545178448423
19,213.5747101897659
20,216.73604869596127
21,223.5742244097781
22,227.46180311639048
23,220.67598695852195
