,value
0,238.1913818581124
1,237.81223421701873
2,232.8131104731886
3,231.99887546493048
4,229.64305448008423
5,230.18445785207297
6,229.2355994522536
7,233.8261904246657
8,243.12897868776895
9,246.7094187225343
10,247.37962199824983
11,245.2789915002079
12,241.40018982805776
13,232.9474909470891
14,228.18265851538536
15,227.81263466154664
16,230.7081457134462
17,239.0127627082834
18,239.11533351500088
19,238.62479365785785
20,236.4394598374665
21,232.6964352408599
22,227.83310267318964
23,224.15466063865787
