,value
0,157.42856250920823
1,154.51314145636866
2,154.05760166300956
3,150.54437574898648
4,149.56170876707074
5,151.76641234537195
6,161.87905736170612
7,169.0115596288738
8,162.74377800835762
9,168.06368454556952
10,161.35420434575434
11,158.9001831131223
12,158.34899454498736
13,154.7854312456446
14,161.26484383693037
15,163.3449481615216
16,173.44768255876122
17,181.4615671132863
18,182.18268126408725
19,188.640432229376
20,178.98213075931622
21,174.7423172893323
22,170.50556410068364
23,165.05941260065993
