,value
0,157.3274817256112
1,154.69895184177048
2,156.12767447883007
3,153.64552172048715
4,154.303414019976
5,159.33653207532012
6,166.0300896848582
7,178.2676509046722
8,174.06212789403082
9,174.18260019982267
10,173.23714943113492
11,168.0797253407214
12,168.5283029218463
13,163.9252776043503
14,159.62068940377884
15,161.24677212131914
16,165.6991241514794
17,172.59759119688033
18,184.62138076125228
19,184.15725890442715
20,180.1389942825944
21,176.92025919299033
22,172.31385143317752
23,168.07148060580215
