,value
0,253.15300613502632
1,248.3420100305553
2,246.48662594733324
3,246.63404105006623
4,242.7776712656263
5,244.12753755877077
6,244.84907689193392
7,248.36015553732597
8,250.65778304779928
9,258.2084059000253
10,264.3001476477613
11,267.4387932401082
12,269.55916163482266
13,265.8606256391869
14,269.297535569341
15,265.3944136274494
16,264.14693184608495
17,267.09243944662956
18,269.3686192785333
19,269.30182609615673
20,264.199651811065
21,260.4802313496174
22,259.86675665220264
23,247.94564744639183
