,value
0,148.31264234821708
1,148.05929416344352
2,150.6015482681559
3,147.71656949443818
4,148.76777177611152
5,150.3015222597871
6,162.94803820719713
7,172.45948467432817
8,168.22092124079887
9,167.3303103584098
10,170.57277494136008
11,161.11066608449033
12,157.99330913693504
13,153.0360295325064
14,154.23891321577034
15,157.98938045638792
16,159.08609050658598
17,165.35898118036604
18,174.2557370132824
19,178.3408687907739
20,173.17705911575368
21,170.64653849947115
22,166.366379377427
23,160.49564485514983
