,value
0,170.56589984279324
1,166.92385519976537
2,168.6099793897099
3,171.86607937443625
4,170.81584594951894
5,171.29167884150075
6,173.92645130683496
7,181.775663358002
8,184.41084158359556
9,185.9744547732668
10,189.55191571929055
11,187.1487055516773
12,185.88603605617573
13,182.56825534878368
14,179.46336535382568
15,179.6512648301696
16,178.46364502257353
17,179.3076865628791
18,182.577335195634
19,185.64678252367963
20,180.48236673583236
21,175.246561194599
22,172.3982012328645
23,170.18147737334303
