,value
0,299.0995117843885
1,295.25479128400997
2,293.59178508488367
3,294.98600183718395
4,292.1895971758831
5,291.84972296083595
6,295.4803070359425
7,295.7673085236949
8,297.92052666853755
9,300.0764698995155
10,307.8940855673329
11,308.91391687475476
12,316.8951821971225
13,314.0861907879826
14,304.5341726670712
15,304.00086351679874
16,301.2892787880428
17,300.4074103686837
18,301.20133994078583
19,301.344368494746
20,296.06508582519723
21,291.2513830491235
22,286.1226480337356
23,280.93624164105125
